Bin,Category,Part,Description,Cost,,
,"Resistors, DIP, & SIP",RS2-1k,"SIP Resistor Network, 1k",$0.40 ,,
,"Resistors, DIP, & SIP",RS2-4k7,"SIP Resistor Network, 4k7",$0.40 ,,
,Capacitor,CC-1P,"Capacitor, ceramic disc 1pF",$0.20 ,,
,Capacitor,CC-2.2P,"Capacitor, ceramic disc 2.2pf",$0.20 ,,
,Capacitor,CC-4.7P,"Capacitor, ceramic disc 4.7pf",$0.20 ,,
,Capacitor,CC-7P,"Capacitor, ceramic disc 7pf",$0.20 ,,
,Capacitor,CC-10P,"Capacitor, ceramic disc 10pF",$0.20 ,,
,Capacitor,CC-12P,"Capacitor, ceramic disc 12pf",$0.20 ,,
,Capacitor,CC-15P,"Capacitor, ceramic disc 15pF",$0.20 ,,
,Capacitor,CC-20P,"Capacitor, ceramic disc 20pF",$0.20 ,,
,Capacitor,CC-22P,"Capacitor, ceramic disc 22pF",$0.20 ,,
,Capacitor,CC-25P,"Capacitor, ceramic disc 25pF",$0.20 ,,
,Capacitor,CC-27P,"Capacitor, ceramic disc 27pF",$0.20 ,,
,Capacitor,CC-30P,"Capacitor, ceramic disc 30pF",$0.20 ,,
,Capacitor,CC-33P,"Capacitor, ceramic disc 33pF",$0.20 ,,
,Capacitor,CC-39P,"Capacitor, ceramic disc 39pF",$0.20 ,,
,Capacitor,CC-47P,"Capacitor, ceramic disc 47pF",$0.20 ,,
,Capacitor,CC-50P,"Capacitor, ceramic disc 50pF",$0.20 ,,
,Capacitor,CC-56P,"Capacitor, ceramic disc 56pF",$0.20 ,,
,Capacitor,CC-68P,"Capacitor, ceramic disc 68pF",$0.20 ,,
,Capacitor,CC-75P,"Capacitor, ceramic disc 75pF",$0.20 ,,
,Capacitor,CC-82P,"Capacitor, ceramic disc 82pF",$0.20 ,,
,Capacitor,CC-100P,"Capacitor, ceramic disc 100pF",$0.20 ,,
,Capacitor,CC-120P,"Capacitor, ceramic disc 120pF",$0.20 ,,
,Capacitor,CC-150P,"Capacitor, ceramic disc 150pF",$0.20 ,,
,Capacitor,CC-180P,"Capacitor, ceramic disc 180pF",$0.20 ,,
,Capacitor,CC-200P,"Capacitor, ceramic disc 200pF",$0.20 ,,
,Capacitor,CC-220P,"Capacitor, ceramic disc 220pF",$0.20 ,,
,Capacitor,CC-250P,"Capacitor, ceramic disc 250pF",$0.20 ,,
,Capacitor,CC-270P,"Capacitor, ceramic disc 270pF",$0.20 ,,
,Capacitor,CC-300P,"Capacitor, ceramic disc 300pF",$0.20 ,,
,Capacitor,CC-330P,"Capacitor, ceramic disc 330pF",$0.20 ,,
,Capacitor,CC-360P,"Capacitor, ceramic disc 360pF",$0.20 ,,
,Capacitor,CC-390P,"Capacitor, ceramic disc 390pF",$0.20 ,,
,Capacitor,CC-470P,"Capacitor, ceramic disc 470pF",$0.20 ,,
,Capacitor,CC-500P,"Capacitor, ceramic disc 500pF",$0.20 ,,
,Capacitor,CC-560P,"Capacitor, ceramic disc 560pF",$0.20 ,,
,Capacitor,CC-680P,"Capacitor, ceramic disc 680pF",$0.20 ,,
,Capacitor,CC-820P,"Capacitor, ceramic disc 820pF",$0.20 ,,
,Capacitor,CC-.001U,"Capacitor, ceramic disc 0.001uF",$0.20 ,,
,Capacitor,CC-.0012U,"Capacitor, ceramic disc 0.0012uF",$0.20 ,,
,Capacitor,CC-.0015U,"Capacitor, ceramic disc 0.0015uF",$0.20 ,,
,Capacitor,CC-.0018U,"Capacitor, ceramic disc 0.0018uF",$0.20 ,,
,Capacitor,CC-.002U,"Capacitor, ceramic disc 0.0020uF",$0.20 ,,
,Capacitor,CC-.0022U,"Capacitor, ceramic disc 0.0022uF",$0.20 ,,
,Capacitor,CC-.0027U,"Capacitor, ceramic disc 0.0027uF",$0.20 ,,
,Capacitor,CC-.003U,"Capacitor, ceramic disc 0.003uF",$0.20 ,,
,Capacitor,CC-.0033U,"Capacitor, ceramic disc 0.0033uF",$0.20 ,,
,Capacitor,CC-.0047U,"Capacitor, ceramic disc 0.0047uF",$0.20 ,,
,Capacitor,CC-.0068U,"Capacitor, ceramic disc .0068uF",$0.20 ,,
,Capacitor,CC-.01U,"Capacitor, ceramic disc 0.01uF",$0.20 ,,
,Capacitor,CC-.022U,"Capacitor, ceramic disc 0.022uF",$0.20 ,,
,Capacitor,CC-.033U,"Capacitor, ceramic disc 0.033uF",$0.20 ,,
,Capacitor,CC-.047U,"Capacitor, ceramic disc 0.047uF",$0.20 ,,
,Capacitor,CC-.068U,"Capacitor, ceramic disc 0.068uF",$0.20 ,,
,Capacitor,CC-.1U,"Capacitor, ceramic disc 0.1uF",$0.20 ,,
,Capacitor,CE.47-50,"Capacitor, electrolytic .47uF 50V",$0.30 ,,
,Capacitor,CE1.0-50,"Capacitor, electrolytic 1uF 50V",$0.30 ,,
,Capacitor,CE2.2-50,"Capacitor, electrolytic 2.2uF 50V",$0.30 ,,
,Capacitor,CE2.2-100,"Capacitor, electrolytic 2.2uF 100V",$0.30 ,,
,Capacitor,CE3.3-50,"Capacitor, electrolytic 3.3uF 50V",$0.30 ,,
,Capacitor,CE4.7-35,"Capacitor, electrolytic 4.7uF 35V",$0.30 ,,
,Capacitor,CE4.7-50,"Capacitor, electrolytic 4.7uF 50V",$0.30 ,,
,Capacitor,CE4.7-63,"Capacitor, electrolytic 4.7uF 63V",$0.30 ,,
,Capacitor,CE4.7-100,"Capacitor, electrolytic 4.7uF 100V",$0.30 ,,
,Capacitor,CE6.8-25,"Capacitor, electrolytic 6.8uF 25V",$0.30 ,,
,Capacitor,CE6.8-35,"Capacitor, electrolytic 6.8uF 35V",$0.30 ,,
,Capacitor,CE6.8-50,"Capacitor, electrolytic 6.8uF 50V",$0.30 ,,
,Capacitor,CE10-16,"Capacitor, electrolytic 10uF 16V",$0.30 ,,
,Capacitor,CE10-25,"Capacitor, electrolytic 10uF 25V",$0.30 ,,
,Capacitor,CE10-35,"Capacitor, electrolytic 10uF 35V",$0.30 ,,
,Capacitor,CE10-50,"Capacitor, electrolytic 10uF 50V",$0.30 ,,
,Capacitor,CE10-63,"Capacitor, electrolytic 10uF 63V",$0.30 ,,
,Capacitor,CE22-6.3,"Capacitor, electrolytic 22uF 6.3V",$0.30 ,,
,Capacitor,CE22-16,"Capacitor, electrolytic 22uF 16V",$0.30 ,,
,Capacitor,CE22-25,"Capacitor, electrolytic 22uF 25V",$0.30 ,,
,Capacitor,CE22-35,"Capacitor, electrolytic 22uF 35V",$0.30 ,,
,Capacitor,CE22-50,"Capacitor, electrolytic 22uF 50V",$0.30 ,,
,Capacitor,CE22-250,"Capacitor, electrolytic 22uF 250V",$0.30 ,,
,Capacitor,CE33-16,"Capacitor, electrolytic 33uF 16V",$0.30 ,,
,Capacitor,CE33-25,"Capacitor, electrolytic 33uF 25V",$0.30 ,,
,Capacitor,CE33-35,"Capacitor, electrolytic 33uF 35V",$0.30 ,,
,Capacitor,CE33-50,"Capacitor, electrolytic 33uF 50V",$0.30 ,,
,Capacitor,CE47-6.3,"Capacitor, electrolytic 47uF 6.3V",$0.30 ,,
,Capacitor,CE47-10,"Capacitor, electrolytic 47uF 10V",$0.30 ,,
,Capacitor,CE47-16,"Capacitor, electrolytic 47uF 16V",$0.30 ,,
,Capacitor,CE47-25,"Capacitor, electrolytic 47uF 25V",$0.30 ,,
,Capacitor,CE47-35,"Capacitor, electrolytic 47uF 35V",$0.30 ,,
,Capacitor,CE47-50,"Capacitor, electrolytic 47uF 50V",$0.30 ,,
,Capacitor,CE47-63,"Capacitor, electrolytic 47uF 63V",$0.30 ,,
,Capacitor,CE68-10,"Capacitor, electrolytic 68uF 10V",$0.30 ,,
,Capacitor,CE100-35,"Capacitor, electrolytic 100uF 35V",$0.30 ,,
,Capacitor,CE100-50,"Capacitor, electrolytic 100uF 50V",$0.30 ,,
,Capacitor,CE150-10,"Capacitor, electrolytic 150uF 10V",$0.30 ,,
,Capacitor,CE150-35,"Capacitor, electrolytic 150uF 35V",$0.30 ,,
,Capacitor,CE150-50,"Capacitor, electrolytic 150uF 50V",$0.30 ,,
,Capacitor,CE220-6.3,"Capacitor, electrolytic 220uF 6.3V",$0.30 ,,
,Capacitor,CE220-10,"Capacitor, electrolytic 220uF 10V",$0.30 ,,
,Capacitor,CE220-16,"Capacitor, electrolytic 220uF 16V",$0.30 ,,
,Capacitor,CE330-6.3,"Capacitor, electrolytic 330uF 6.3V",$0.30 ,,
,Capacitor,CE330-10,"Capacitor, electrolytic 330uF 10V",$0.30 ,,
,Capacitor,CE330-35,"Capacitor, electrolytic 330uF 35V",$0.30 ,,
,Capacitor,CE330-50,"Capacitor, electrolytic 330uF 50V",$0.30 ,,
,Capacitor,CE470-6.3,"Capacitor, electrolytic 470uF 6.3V",$0.30 ,,
,Capacitor,CE470-16,"Capacitor, electrolytic 470uF 16V",$0.30 ,,
,Capacitor,CE470-50,"Capacitor, electrolytic 470uF 50V",$0.30 ,,
,Capacitor,CE1000-16,"Capacitor, electrolytic 1000uF 16V",$0.70 ,,
,Capacitor,CE1000-25,"Capacitor, electrolytic 1000uF 25V",$0.70 ,,
,Capacitor,CE1000-50,"Capacitor, electrolytic 1000uF 50V",$0.70 ,,
,Capacitor,CE2200-16,"Capacitor, electrolytic 2200uF 16V",$0.70 ,,
,Capacitor,CE3300-16,"Capacitor, electrolytic 3300uF 16V",$0.70 ,,
,Capacitor,CE4700-16,"Capacitor, electrolytic 4700uF 16V",$1.00 ,,
,Capacitor,CE4700-25,"Capacitor, electrolytic 4700uF 25V",$1.25 ,,
,Capacitor,CE10000-16,"Capacitor, electrolytic 10000uF 16V",$2.80 ,,
,Capacitor,CM-120P,"Capacitor, monolythic ceramic 120pF",$0.40 ,,
,Capacitor,CM-270P,"Capacitor, monolythic ceramic 270pF",$0.40 ,,
,Capacitor,CM-820P,"Capacitor, monolythic ceramic 820pF",$0.40 ,,
,Capacitor,CM-1000P,"Capacitor, monolythic ceramic 1000pF",$0.40 ,,
,Capacitor,CM-2200P,"Capacitor, monolythic ceramic 2200pF",$0.40 ,,
,Capacitor,CM-3300P,"Capacitor, monolythic ceramic 3300pF",$0.40 ,,
,Capacitor,CM-4700P,"Capacitor, monolythic ceramic 4700pF",$0.40 ,,
,Capacitor,CM-6800P,"Capacitor, monolythic ceramic 6800pF",$0.40 ,,
,Capacitor,CM-.01U,"Capacitor, monolythic ceramic 0.01uF",$0.40 ,,
,Capacitor,CM-.015U,"Capacitor, monolythic ceramic 0.015uF",$0.40 ,,
,Capacitor,CM-.022U,"Capacitor, monolythic ceramic 0.022uF",$0.40 ,,
,Capacitor,CM-.033U,"Capacitor, monolythic ceramic 0.033uF",$0.40 ,,
,Capacitor,CM-.047U,"Capacitor, monolythic ceramic 0.047uF",$0.40 ,,
,Capacitor,CM-.068U,"Capacitor, monolythic ceramic 0.068uF",$0.40 ,,
,Capacitor,CM-.1U,"Capacitor, monolythic ceramic 0.1uF",$0.40 ,,
,Capacitor,CM-.15U,"Capacitor, monolithic  ceramic 0.15 uf",$0.40 ,,
,Capacitor,CM-.22U,"Capacitor, monolythic ceramic 0.22uF",$0.40 ,,
,Capacitor,CM-.33U,"Capacitor, monolythic ceramic 0.33uF",$0.80 ,,
,Capacitor,CM-.47U,"Capacitor, monolythic ceramic 0.47uF",$0.50 ,,
,Capacitor,CM-.68U,"Capacitor, monolythic ceramic 0.68uF",$0.60 ,,
,Capacitor,CP-.001U,"Capacitor, polyester .001u 100V",$0.30 ,,
,Capacitor,CP-.0022U,"Capacitor, polyester .0022u 100V",$0.30 ,,
,Capacitor,CP-.0033U,"Capacitor, polyester .0033u 100V",$0.30 ,,
,Capacitor,CP-.0047U,"Capacitor, polyester .0047u 100V",$0.30 ,,
,Capacitor,CP-.0068U,"Capacitor, polyester .0068u 100V",$0.30 ,,
,Capacitor,CP-.01U,"Capacitor, polyester .01uF 100V",$0.30 ,,
,Capacitor,CP-.047U,"Capacitor, polyester .047uF 100V",$0.40 ,,
,Capacitor,CP-.068U,"Capacitor, polyester .068uF 100V",$0.30 ,,
,Capacitor,CP-.1U,"Capacitor, polyester .1uF 100V",$0.40 ,,
,Capacitor,CP-.15U,"Capacitor, polyester .15uF 100V",$0.50 ,,
,Capacitor,CP-.22U,"Capacitor, polyester .22uF 100V",$0.50 ,,
,Capacitor,CP-.47U,"Capacitor, polyester .47uF 100V",$0.60 ,,
,Capacitor,CP-1U,"Capacitor, polyester 1u 100V",$0.70 ,,
,Capacitor,CP-4.7U,"Capacitor, polyester 4.7u 100V",$2.50 ,,
,Capacitor,CPL-33P,"Capacitor, polystyrene 33pF 160V",$0.90 ,,
,Capacitor,CPL-47P,"Capacitor, polystyrene 47pF 160V",$0.70 ,,
,Capacitor,CPL-68P,"Capacitor, polystyrene 68pF 160V",$0.50 ,,
,Capacitor,CPL-100P,"Capacitor, polystyrene 100pF 50V",$0.50 ,,
,Capacitor,CPL-150P,"Capacitor, polystyrene 150pF 160V",$0.60 ,,
,Capacitor,CPL-200P,"Capacitor, polystyrene 200pF 160V",$0.60 ,,
,Capacitor,CPL-220P,"Capacitor, polystyrene 220pF 160V",$0.60 ,,
,Capacitor,CPL-300P,"Capacitor, polystyrene 300pF 600V",$0.60 ,,
,Capacitor,CPL-330P,"Capacitor, polystyrene 330pF 600V",$0.60 ,,
,Capacitor,CPL-390P,"Capacitor, polystyrene 390pF 600V",$0.60 ,,
,Capacitor,CPL-510P,"Capacitor, polystyrene 510pF 600V",$0.60 ,,
,Capacitor,CPL-680P,"Capacitor, polystyrene 680pF 160V",$0.90 ,,
,Capacitor,CPL-750P,"Capacitor, polystyrene 750pF 160V",$0.90 ,,
,Capacitor,CPL-1000P,"Capacitor, polystyrene 1000pF 50V",$0.50 ,,
,Capacitor,CPL-1500P,"Capacitor, polystyrene 1500pF 50V",$0.50 ,,
,Capacitor,CPL-2000P,"Capacitor, polystyrene 2000pF 160V",$0.50 ,,
,Capacitor,CPL-2500P,"Capacitor, polystyrene 2500pF 160V",$0.90 ,,
,Capacitor,CPL-3000P,"Capacitor, polystyrene 3000pF 160V",$0.60 ,,
,Capacitor,CPL-5000P,"Capacitor, polystyrene 5000pF 600V",$1.00 ,,
,Capacitor,CPL-6800P,"Capacitor, polystyrene 6800pF 600V",$0.70 ,,
,Capacitor,CPL-8200P,"Capacitor, polystyrene 8200pF 600V",$0.70 ,,
,Capacitor,CPL-.01U,"Capacitor, polystyrene 1000pF 600V",$0.70 ,,
,Capacitor,CT-.1U,"Capacitor, tantalum .1uF 35V",$0.40 ,,
,Capacitor,CT-.15U,"Capacitor, tantalum .15uF 35V",$0.40 ,,
,Capacitor,CT-.33U,"Capacitor, tantalum .33uF 35V",$0.40 ,,
,Capacitor,CT-.47U,"Capacitor, tantalum .47uF 35V",$0.40 ,,
,Capacitor,CT-.68U,"Capacitor, tantalum .68uF 35V",$0.40 ,,
,Capacitor,CT-1.0U,"Capacitor, tantalum 1.0uF 35V",$0.40 ,,
,Capacitor,CT-1.5U,"Capacitor, tantalum 1.5uF 35V",$0.40 ,,
,Capacitor,CT-2.2U,"Capacitor, tantalum 2.2uF 35V",$0.40 ,,
,Capacitor,CT-3.3U,"Capacitor, tantalum 3.3uF 35V",$0.40 ,,
,Capacitor,CT-4.7U,"Capacitor, tantalum 4.7uF 35V",$0.70 ,,
,Capacitor,CT-6.8U,"Capacitor, tantalum 6.8uF 35V",$0.80 ,,
,Capacitor,CT-10U,"Capacitor, tantalum 10uF 35V",$0.80 ,,
,Capacitor,CT-15U,"Capacitor, tantalum 15uF 35V",$1.20 ,,
,Capacitor,CT-33U,"Capacitor, tantalum 33uF 25V",$1.70 ,,
,Capacitor,CT-220U,"Capacitor, tantalum 220uF 10V",$3.50 ,,
,Capacitor,CV-2.8_15P,"Capacitor, Variable 2.8-15pF",$1.30 ,,
,Capacitor,CV-9_50P,"Capacitor, Variable 9-50pF",$1.30 ,,
,Chokes and Inductors,I-2.2U,"Choke, 2.2uH",$0.70 ,,
,Chokes and Inductors,I-4.7U,"Choke, 4.7uH",$0.70 ,,
,Chokes and Inductors,I-10U,"Choke, 10uH",$0.70 ,,
,Chokes and Inductors,I-22U,"Choke, 22uH",$0.70 ,,
,Chokes and Inductors,I-27U,"Choke, 27uH",$0.70 ,,
,Chokes and Inductors,I-33U,"Choke, 33uH",$0.70 ,,
,Chokes and Inductors,I-39U,"Choke, 39uH",$0.70 ,,
,Chokes and Inductors,I-47U,"Choke, 47uH",$0.70 ,,
,Chokes and Inductors,I-82U,"Choke, 82uH",$0.70 ,,
,Chokes and Inductors,I-90U,"Choke, 90uH",$0.70 ,,
,Chokes and Inductors,I-100U,"Choke, 100uH",$0.70 ,,
,Chokes and Inductors,I-220U," Choke, 220uH",$0.70 ,,
,Chokes and Inductors,I-270U,"Choke, 270uH",$0.70 ,,
,Chokes and Inductors,I-470U,"Choke, 470uH",$0.70 ,,
,Chokes and Inductors,I-33M,"Inductor, 33mH",$1.00 ,,
,Chokes and Inductors,I-68M,"Inductor, 68mH",$0.90 ,,
,Chokes and Inductors,I-82M,"Inductor, 82mH",$1.10 ,,
,Chokes and Inductors,I-100M,"Inductor, 100mH",$0.70 ,,
,Crystals and Oscillators,XTAL- 1.0,"Crystal, 1.0000MHz",$5.00 ,,
,Crystals and Oscillators,XTAL- 2.46,"Crystal, 2.4576MHz",$2.40 ,,
,Crystals and Oscillators,XTAL- 3.58,"Crystal, 3.579545MHz",$1.50 ,,
,Crystals and Oscillators,XTAL- 4.0,"Crystal, 4MHz",$1.50 ,,
,Crystals and Oscillators,XTAL-10.0,"Crystal, 10.0000MHz",$1.50 ,,
,Crystals and Oscillators,XTAL-10.08,"Crystal, 10.0800MHz",$1.50 ,,
,Crystals and Oscillators,XTAL-18.43,"Crystal, 18.432 MHz",$1.50 ,,
,Crystals and Oscillators,XTAL-20.0,"Crystal, 20.0000MHz",$1.50 ,,
,Crystals and Oscillators,XTAL-61.25,"Crystal, 61.25MHz",$1.50 ,,
,Crystals and Oscillators,OSC- 1.0,"Oscillator, DIP, 1MHz, TTL output",$4.00 ,,
,Crystals and Oscillators,OSC- 2.0,"Oscillator, DIP, 2MHz, TTL output",$3.00 ,,
,Crystals and Oscillators,OSC- 2.46,"Oscillator, DIP, 2.46MHz, TTL output",$3.00 ,,
,Crystals and Oscillators,OSC- 4.0,"Oscillator, DIP, 4MHz, TTL output",$2.40 ,,
,Crystals and Oscillators,OSC- 8.0,"Oscillator, DIP, 8MHz, TTL output",$2.40 ,,
,Crystals and Oscillators,OSC-10.0,"Oscillator, DIP, 10MHz, TTL output",$2.30 ,,
,Crystals and Oscillators,OSC-12.0,"Oscillator, DIP, 12MHz, TTL output",$4.00 ,,
,Crystals and Oscillators,OSC-16.0,"Oscillator, DIP, 16MHz, TTL output",$2.30 ,,
,Crystals and Oscillators,OSC-20.0,"Oscillator, DIP, 20MHz, TTL output",$2.40 ,,
,Crystals and Oscillators,OSC-33.0,"Oscillator, DIP, 33MHz, TTL output",$3.20 ,,
,TLL Logic,74LS00,Quad 2-input NAND,$0.40 ,,
,TLL Logic,74LS01,Quad 2-input NAND (OC),$0.40 ,,
,TLL Logic,74LS02,Quad 2-input NOR,$0.40 ,,
,TLL Logic,74LS03,Quad 2-input NAND (OC),$0.40 ,,
,TLL Logic,74LS04,Hex Inverter,$0.40 ,,
,TLL Logic,74LS05,Hex Inverter (OC),$0.40 ,,
,TLL Logic,74LS06,Hex inverter buffer/driver,$0.40 ,,
,TLL Logic,74LS08,Quad 2-input AND,$0.40 ,,
,TLL Logic,74LS09,Quad 2-input AND (OC),$0.40 ,,
,TLL Logic,74LS10,Triple 3-input NAND,$0.40 ,,
,TLL Logic,74LS11,Triple 3 input AND,$0.50 ,,
,TLL Logic,74LS12,Triple 3-input NAND (OC),$0.65 ,,
,TLL Logic,74LS13,Dual 4-input NAND (Schmitt Trigger),$0.65 ,,
,TLL Logic,74LS14,Hex inverter (Schmitt Trigger),$0.60 ,,
,TLL Logic,74LS15,Tripple 3-input AND (OC),$0.90 ,,
,TLL Logic,7416,"Hex Inverter (OC) (15V, 40mA)",$0.80 ,,
,TLL Logic,74LS20,Dual 4-input NAND,$0.40 ,,
,TLL Logic,74LS21,Dual 4-input AND,$0.40 ,,
,TLL Logic,74LS22,Dual 4-input NAND (OC),$0.80 ,,
,TLL Logic,7425,Dual 4-input NOR with Strobe,$1.10 ,,
,TLL Logic,74LS27,Triple 3-input OR,$0.40 ,,
,TLL Logic,74LS30,8-input NAND,$0.40 ,,
,TLL Logic,74LS32,Quad 2-input OR,$0.40 ,,
,TLL Logic,74LS38,Quad 2-input NAND Buffer (OC),$0.40 ,,
,TLL Logic,7442,"BCD to decimal, 4 to 16 decoder",$0.70 ,,
,TLL Logic,7445,BCD to decimal decoder/driver,$1.20 ,,
,TLL Logic,74LS47,BCD to 7-segment decoder/driver (OC),$1.00 ,,
,TLL Logic,74LS48,BCD to 7-segment decoder/driver (OC),$3.20 ,,
,TLL Logic,7451,Dual 2-wide 2 input AND-OR-Invert,$0.40 ,,
,TLL Logic,74LS54,4-wide AND-OR-Invert,$0.40 ,,
,TLL Logic,74F64,Pos 4-2-3-2 input AND-OR-Invert,$0.40 ,,
,TLL Logic,7470,AND-gated edge triggered JK flip-flop,$0.80 ,,
,TLL Logic,7472,AND-gated JK master/slave flip-flop,$1.20 ,,
,TLL Logic,74LS73,Dual JK flip-flop with clear,$0.60 ,,
,TLL Logic,74LS74,Dual D flip-flop with preset and clear,$0.40 ,,
,TLL Logic,74LS75,4-bit Bistable Latch,$0.80 ,,
